UserID,Round,Result
5802863171,1,Banker
5802863171,2,Banker
5802863171,3,Banker
5802863171,4,Tie
5802863171,5,Banker
5802863171,6,Banker
5802863171,7,Tie
5802863171,8,Banker
5802863171,9,Player
5802863171,10,Player
5802863171,11,Player
5802863171,12,Banker
5802863171,13,Banker
5802863171,14,Player
5802863171,15,Player
5802863171,16,Player
5802863171,17,Player
5802863171,18,Tie
5802863171,19,Banker
5802863171,20,Player
5802863171,21,Banker
5802863171,22,Banker
5802863171,23,Player
5802863171,24,Banker
5802863171,25,Banker
